"term","freq","s1","s2","s3","prob"
"i can get",38,"i","can","get",0.0635451505016722
"i wonder if",38,"i","wonder","if",0.487179487179487
"me in the",38,"me","in","the",0.339285714285714
"more and more",38,"more","and","more",0.666666666666667
"that they are",38,"that","they","are",0.196891191709845
"that would be",38,"that","would","be",0.368932038834951
"that you can",38,"that","you","can",0.151394422310757
"to all the",38,"to","all","the",0.22093023255814
"want to go",38,"want","to","go",0.0510752688172043
"went to the",38,"went","to","the",0.25503355704698
"you are a",38,"you","are","a",0.0690909090909091
"did you know",37,"did","you","know",0.177033492822967
"has to be",37,"has","to","be",0.352380952380952
"i was so",37,"i","was","so",0.0329181494661922
"i would love",37,"i","would","love",0.0864485981308411
"if you can",37,"if","you","can",0.0401737242128122
"is on the",37,"is","on","the",0.316239316239316
"let us know",37,"let","us","know",0.578125
"needs to be",37,"needs","to","be",0.333333333333333
"supposed to be",37,"supposed","to","be",0.385416666666667
"the back of",37,"the","back","of",0.44047619047619
"the name of",37,"the","name","of",0.569230769230769
"the only thing",37,"the","only","thing",0.15546218487395
"trying to get",37,"trying","to","get",0.11178247734139
"want to do",37,"want","to","do",0.0497311827956989
"was one of",37,"was","one","of",0.787234042553192
"we will be",37,"we","will","be",0.238709677419355
"a good day",36,"a","good","day",0.0684410646387833
"all over the",36,"all","over","the",0.428571428571429
"for all of",36,"for","all","of",0.21301775147929
"i guess i",36,"i","guess","i",0.205714285714286
"i had the",36,"i","had","the",0.0674157303370786
"i thought it",36,"i","thought","it",0.145161290322581
"in the us",36,"in","the","us",0.00940930475692629
"it looks like",36,"it","looks","like",0.529411764705882
"know how to",36,"know","how","to",0.3
"of the time",36,"of","the","time",0.0092378752886836
"thank you to",36,"thank","you","to",0.0606060606060606
"this is what",36,"this","is","what",0.0520984081041968
"to be able",36,"to","be","able",0.0195758564437194
"to do a",36,"to","do","a",0.0481927710843374
"to see if",36,"to","see","if",0.0529411764705882
"to talk about",36,"to","talk","about",0.31858407079646
"want to know",36,"want","to","know",0.0483870967741935
"want to see",36,"want","to","see",0.0483870967741935
"was able to",36,"was","able","to",0.972972972972973
"will be the",36,"will","be","the",0.0431654676258993
"a few days",35,"a","few","days",0.0799086757990868
"a great weekend",35,"a","great","weekend",0.0660377358490566
"a lot more",35,"a","lot","more",0.0709939148073022
"and i are",35,"and","i","are",0.0311942959001783
"away from the",35,"away","from","the",0.2734375
"but i am",35,"but","i","am",0.0550314465408805
"check out the",35,"check","out","the",0.212121212121212
"dont want to",35,"dont","want","to",0.760869565217391
"for the next",35,"for","the","next",0.0178662582950485
"going to do",35,"going","to","do",0.04
"happy birthday to",35,"happy","birthday","to",0.28
"i love my",35,"i","love","my",0.0488145048814505
"in new york",35,"in","new","york",0.564516129032258
"it can be",35,"it","can","be",0.448717948717949
"side of the",35,"side","of","the",0.486111111111111
"the time to",35,"the","time","to",0.121527777777778
"thought it was",35,"thought","it","was",0.614035087719298
"to make the",35,"to","make","the",0.0688976377952756
"up with a",35,"up","with","a",0.168269230769231
"you know what",35,"you","know","what",0.0864197530864197
"at the time",34,"at","the","time",0.0258948971820259
"don't know what",34,"don't","know","what",0.223684210526316
"i think that",34,"i","think","that",0.0446780551905388
"if i can",34,"if","i","can",0.085427135678392
"in a few",34,"in","a","few",0.0319548872180451
"seem to be",34,"seem","to","be",0.323809523809524
"the only one",34,"the","only","one",0.142857142857143
"to make sure",34,"to","make","sure",0.0669291338582677
"would have been",34,"would","have","been",0.17989417989418
"a little more",33,"a","little","more",0.066
"a way to",33,"a","way","to",0.375
"all of us",33,"all","of","us",0.101851851851852
"because of the",33,"because","of","the",0.230769230769231
"every time i",33,"every","time","i",0.428571428571429
"for you to",33,"for","you","to",0.122222222222222
"go back to",33,"go","back","to",0.589285714285714
"going to the",33,"going","to","the",0.0377142857142857
"happy new year",33,"happy","new","year",0.868421052631579
"has been a",33,"has","been","a",0.0887096774193548
"i can do",33,"i","can","do",0.0551839464882943
"is such a",33,"is","such","a",0.868421052631579
"is the first",33,"is","the","first",0.0391923990498812
"know what to",33,"know","what","to",0.16751269035533
"my way to",33,"my","way","to",0.485294117647059
"one of these",33,"one","of","these",0.0421455938697318
"that i can",33,"that","i","can",0.0442953020134228
"that i had",33,"that","i","had",0.0442953020134228
"that was the",33,"that","was","the",0.118279569892473
"to all of",33,"to","all","of",0.191860465116279
"to figure out",33,"to","figure","out",0.75
"to take the",33,"to","take","the",0.13469387755102
"to tell you",33,"to","tell","you",0.311320754716981
"was a good",33,"was","a","good",0.054726368159204
"was the first",33,"was","the","first",0.105431309904153
"we want to",33,"we","want","to",0.673469387755102
"a number of",32,"a","number","of",0.727272727272727
"all the way",32,"all","the","way",0.0541455160744501
"and i can",32,"and","i","can",0.0285204991087344
"at the moment",32,"at","the","moment",0.0243716679360244
"be in the",32,"be","in","the",0.207792207792208
"i like the",32,"i","like","the",0.132780082987552
"in the house",32,"in","the","house",0.00836382645060115
"it's going to",32,"it's","going","to",0.888888888888889
"know if you",32,"know","if","you",0.333333333333333
"make sure you",32,"make","sure","you",0.278260869565217
"some of my",32,"some","of","my",0.108108108108108
"sounds like a",32,"sounds","like","a",0.41025641025641
"the best of",32,"the","best","of",0.0643863179074447
"to check out",32,"to","check","out",0.415584415584416
"to see it",32,"to","see","it",0.0470588235294118
"to see what",32,"to","see","what",0.0470588235294118
"up on the",32,"up","on","the",0.248062015503876
"you and your",32,"you","and","your",0.181818181818182
"you know that",32,"you","know","that",0.0790123456790123
"a year old",31,"a","year","old",0.206666666666667
"at this point",31,"at","this","point",0.303921568627451
"but i have",31,"but","i","have",0.0487421383647799
"come up with",31,"come","up","with",0.688888888888889
"for all the",31,"for","all","the",0.183431952662722
"happy mothers day",31,"happy","mothers","day",1
"i got to",31,"i","got","to",0.10580204778157
"i think it's",31,"i","think","it's",0.0407358738501971
"i was going",31,"i","was","going",0.0275800711743772
"i was just",31,"i","was","just",0.0275800711743772
"in the future",31,"in","the","future",0.00810245687401986
"in the way",31,"in","the","way",0.00810245687401986
"it has been",31,"it","has","been",0.212328767123288
"it was just",31,"it","was","just",0.0282846715328467
"that he was",31,"that","he","was",0.158163265306122
"that this is",31,"that","this","is",0.246031746031746
"the number of",31,"the","number","of",0.704545454545455
"to find out",31,"to","find","out",0.158163265306122
"to look at",31,"to","look","at",0.289719626168224
"used to be",31,"used","to","be",0.168478260869565
"wait for the",31,"wait","for","the",0.260504201680672
"a good time",30,"a","good","time",0.0570342205323194
"all of this",30,"all","of","this",0.0925925925925926
"and i love",30,"and","i","love",0.0267379679144385
"and i think",30,"and","i","think",0.0267379679144385
"as a result",30,"as","a","result",0.046583850931677
"as far as",30,"as","far","as",0.909090909090909
"as you can",30,"as","you","can",0.236220472440945
"by the time",30,"by","the","time",0.0568181818181818
"i did not",30,"i","did","not",0.137614678899083
"in the next",30,"in","the","next",0.00784108729743858
"in the s",30,"in","the","s",0.00784108729743858
"it to the",30,"it","to","the",0.137614678899083
"of all the",30,"of","all","the",0.171428571428571
"of the first",30,"of","the","first",0.00769822940723634
"the beginning of",30,"the","beginning","of",0.526315789473684
"the world is",30,"the","world","is",0.075187969924812
"to do something",30,"to","do","something",0.0401606425702811
"to me that",30,"to","me","that",0.0775193798449612
"to meet you",30,"to","meet","you",0.27027027027027
"we had a",30,"we","had","a",0.204081632653061
"will have to",30,"will","have","to",0.277777777777778
"wish i was",30,"wish","i","was",0.218978102189781
"you going to",30,"you","going","to",0.789473684210526
"a fan of",29,"a","fan","of",0.591836734693878
"a good idea",29,"a","good","idea",0.0551330798479087
"a good thing",29,"a","good","thing",0.0551330798479087
"and i had",29,"and","i","had",0.0258467023172906
"be on the",29,"be","on","the",0.315217391304348
"check out our",29,"check","out","our",0.175757575757576
"do you want",29,"do","you","want",0.0633187772925764
"don't have to",29,"don't","have","to",0.258928571428571
"first time in",29,"first","time","in",0.239669421487603
"have to go",29,"have","to","go",0.0419075144508671
"have to say",29,"have","to","say",0.0419075144508671
"i'd like to",29,"i'd","like","to",0.878787878787879
"i could have",29,"i","could","have",0.0966666666666667
"i think we",29,"i","think","we",0.038107752956636
"if i could",29,"if","i","could",0.0728643216080402
"in addition to",29,"in","addition","to",0.763157894736842
"in terms of",29,"in","terms","of",0.966666666666667
"let you know",29,"let","you","know",0.568627450980392
"more of a",29,"more","of","a",0.341176470588235
"no matter how",29,"no","matter","how",0.305263157894737
"the people who",29,"the","people","who",0.235772357723577
"there are a",29,"there","are","a",0.0886850152905199
"to deal with",29,"to","deal","with",0.935483870967742
"to do that",29,"to","do","that",0.0388219544846051
"to see a",29,"to","see","a",0.0426470588235294
"who wants to",29,"who","wants","to",0.763157894736842
"you know i",29,"you","know","i",0.0716049382716049
"a series of",28,"a","series","of",0.875
"are you going",28,"are","you","going",0.0703517587939698
"because it was",28,"because","it","was",0.277227722772277
"feel like i",28,"feel","like","i",0.167664670658683
"for the day",28,"for","the","day",0.0142930066360388
"front of the",28,"front","of","the",0.304347826086957
"have to get",28,"have","to","get",0.0404624277456647
"how much i",28,"how","much","i",0.191780821917808
"i get a",28,"i","get","a",0.12280701754386
"i have the",28,"i","have","the",0.0244755244755245
"i know you",28,"i","know","you",0.0547945205479452
"i love this",28,"i","love","this",0.0390516039051604
"i think you",28,"i","think","you",0.0367936925098555
"in the city",28,"in","the","city",0.00731834814427601
"in the process",28,"in","the","process",0.00731834814427601
"is the most",28,"is","the","most",0.0332541567695962
"of the week",28,"of","the","week",0.00718501411342058
"on the road",28,"on","the","road",0.0139372822299652
"one of our",28,"one","of","our",0.0357598978288633
"reminds me of",28,"reminds","me","of",0.8
"the amount of",28,"the","amount","of",0.8
"the last few",28,"the","last","few",0.101083032490975
"the story of",28,"the","story","of",0.235294117647059
"the way i",28,"the","way","i",0.0858895705521472
"to do so",28,"to","do","so",0.0374832663989291
"to get out",28,"to","get","out",0.0346534653465347
"to get some",28,"to","get","some",0.0346534653465347
"to try to",28,"to","try","to",0.261682242990654
"to watch the",28,"to","watch","the",0.23728813559322
"was in the",28,"was","in","the",0.198581560283688
"you are the",28,"you","are","the",0.0509090909090909
"all of you",27,"all","of","you",0.0833333333333333
"and a half",27,"and","a","half",0.0500927643784787
"at the top",27,"at","the","top",0.0205635948210206
"bit of a",27,"bit","of","a",0.238938053097345
"but i don't",27,"but","i","don't",0.0424528301886792
"couple of weeks",27,"couple","of","weeks",0.162650602409639
"down to the",27,"down","to","the",0.306818181818182
"due to the",27,"due","to","the",0.259615384615385
"for a new",27,"for","a","new",0.0273003033367037
"i can see",27,"i","can","see",0.0451505016722408
"i don't like",27,"i","don't","like",0.0488245931283906
"i get to",27,"i","get","to",0.118421052631579
"i like it",27,"i","like","it",0.112033195020747
"i still have",27,"i","still","have",0.194244604316547
"i tried to",27,"i","tried","to",0.457627118644068
"if i was",27,"if","i","was",0.0678391959798995
"if it was",27,"if","it","was",0.217741935483871
"is the only",27,"is","the","only",0.0320665083135392
"me know if",27,"me","know","if",0.278350515463918
"middle of the",27,"middle","of","the",0.473684210526316
"now i have",27,"now","i","have",0.152542372881356
"one of them",27,"one","of","them",0.0344827586206897
"out in the",27,"out","in","the",0.284210526315789
"out on the",27,"out","on","the",0.303370786516854
"out to be",27,"out","to","be",0.133663366336634
"out to the",27,"out","to","the",0.133663366336634
"see you soon",27,"see","you","soon",0.111111111111111
"that i will",27,"that","i","will",0.036241610738255
"that we are",27,"that","we","are",0.139175257731959
"the same way",27,"the","same","way",0.0515267175572519
"to come to",27,"to","come","to",0.158823529411765
"to get it",27,"to","get","it",0.0334158415841584
"to get my",27,"to","get","my",0.0334158415841584
"would be the",27,"would","be","the",0.058695652173913
"you can get",27,"you","can","get",0.0474516695957821
"you have any",27,"you","have","any",0.0545454545454545
"a few months",26,"a","few","months",0.0593607305936073
"a few weeks",26,"a","few","weeks",0.0593607305936073
"a list of",26,"a","list","of",0.684210526315789
"and if you",26,"and","if","you",0.242990654205607
"and in the",26,"and","in","the",0.188405797101449
"any of the",26,"any","of","the",0.30952380952381
"are in the",26,"are","in","the",0.292134831460674
"at a time",26,"at","a","time",0.106995884773663
"can be a",26,"can","be","a",0.089041095890411
"feel free to",26,"feel","free","to",0.866666666666667
"for the rest",26,"for","the","rest",0.0132720775906075
"get to the",26,"get","to","the",0.144444444444444
"great way to",26,"great","way","to",0.928571428571429
"hope you have",26,"hope","you","have",0.139784946236559
"i can't believe",26,"i","can't","believe",0.0925266903914591
"i try to",26,"i","try","to",0.666666666666667
"it was so",26,"it","was","so",0.0237226277372263
"just a little",26,"just","a","little",0.146892655367232
"learn how to",26,"learn","how","to",0.928571428571429
"people in the",26,"people","in","the",0.412698412698413
"ready to go",26,"ready","to","go",0.141304347826087
"so excited to",26,"so","excited","to",0.282608695652174
"so much fun",26,"so","much","fun",0.0619047619047619
"think about it",26,"think","about","it",0.313253012048193
"to be on",26,"to","be","on",0.0141381185426862
"to create a",26,"to","create","a",0.30952380952381
"to do this",26,"to","do","this",0.034805890227577
"to see how",26,"to","see","how",0.0382352941176471
"want you to",26,"want","you","to",0.619047619047619
"wanted to be",26,"wanted","to","be",0.119815668202765
"what is the",26,"what","is","the",0.12807881773399
"what is your",26,"what","is","your",0.12807881773399
"a group of",25,"a","group","of",0.625
"a member of",25,"a","member","of",0.862068965517241
"a variety of",25,"a","variety","of",0.925925925925926
"and have a",25,"and","have","a",0.190839694656489
"be one of",25,"be","one","of",0.757575757575758
"because it is",25,"because","it","is",0.247524752475248
"can do it",25,"can","do","it",0.206611570247934
"for a long",25,"for","a","long",0.0252780586450961
"get out of",25,"get","out","of",0.416666666666667
"getting ready for",25,"getting","ready","for",0.462962962962963
"getting ready to",25,"getting","ready","to",0.462962962962963
"go to bed",25,"go","to","bed",0.0853242320819113
"going to see",25,"going","to","see",0.0285714285714286
"he was a",25,"he","was","a",0.0702247191011236
"i'm not sure",25,"i'm","not","sure",0.120772946859903
"i believe that",25,"i","believe","that",0.294117647058824
"i hope to",25,"i","hope","to",0.0889679715302491
"in the car",25,"in","the","car",0.00653423941453215
"is a very",25,"is","a","very",0.02210433244916
"is what i",25,"is","what","i",0.231481481481481
"it to be",25,"it","to","be",0.114678899082569
"just have to",25,"just","have","to",0.555555555555556
"know what i",25,"know","what","i",0.126903553299492
"may not be",25,"may","not","be",0.316455696202532
"member of the",25,"member","of","the",0.595238095238095
"more than a",25,"more","than","a",0.0886524822695035
"of the season",25,"of","the","season",0.00641519117269695
"over and over",25,"over","and","over",0.431034482758621
"see you at",25,"see","you","at",0.102880658436214
"see you there",25,"see","you","there",0.102880658436214
"shout out to",25,"shout","out","to",0.446428571428571
"thanks to all",25,"thanks","to","all",0.161290322580645
"the age of",25,"the","age","of",0.78125
"the way to",25,"the","way","to",0.0766871165644172
"there was no",25,"there","was","no",0.122549019607843
"time to get",25,"time","to","get",0.0773993808049536
"to go back",25,"to","go","back",0.0533049040511727
"to listen to",25,"to","listen","to",0.78125
"to work on",25,"to","work","on",0.122549019607843
"want to get",25,"want","to","get",0.0336021505376344
"well as the",25,"well","as","the",0.18796992481203
"what you want",25,"what","you","want",0.108225108225108
"will not be",25,"will","not","be",0.252525252525253
"a good one",24,"a","good","one",0.0456273764258555
"but i just",24,"but","i","just",0.0377358490566038
"but i was",24,"but","i","was",0.0377358490566038
"get back to",24,"get","back","to",0.436363636363636
"going to have",24,"going","to","have",0.0274285714285714
"had to be",24,"had","to","be",0.0842105263157895
"happy mother's day",24,"happy","mother's","day",0.96
"have been a",24,"have","been","a",0.0555555555555556
"hope you are",24,"hope","you","are",0.129032258064516
"i was at",24,"i","was","at",0.0213523131672598
"in a while",24,"in","a","while",0.0225563909774436
"in my head",24,"in","my","head",0.0408163265306122
"it might be",24,"it","might","be",0.521739130434783
"much as i",24,"much","as","i",0.333333333333333
"need to do",24,"need","to","do",0.0438756855575868
"of course i",24,"of","course","i",0.0848056537102474
"of the new",24,"of","the","new",0.00615858352578907
"of the state",24,"of","the","state",0.00615858352578907
"over the past",24,"over","the","past",0.0875912408759124
"should be a",24,"should","be","a",0.0933852140077821
"so you can",24,"so","you","can",0.311688311688312
"take care of",24,"take","care","of",0.857142857142857
"thanks for sharing",24,"thanks","for","sharing",0.0365853658536585
"that he is",24,"that","he","is",0.122448979591837
"the ability to",24,"the","ability","to",0.8
"the next day",24,"the","next","day",0.0892193308550186
"there are many",24,"there","are","many",0.073394495412844
"they have a",24,"they","have","a",0.12972972972973
"this was a",24,"this","was","a",0.2
"to be an",24,"to","be","an",0.0130505709624796
"to do is",24,"to","do","is",0.0321285140562249
