"term","freq","s1","s2","s3","prob"
"have to do",143,"have","to","do",0.052
"up to the",143,"up","to","the",0.132284921369103
"will have to",143,"will","have","to",0.299163179916318
"a few days",142,"a","few","days",0.0736132711249352
"i thought it",141,"i","thought","it",0.155286343612335
"to figure out",141,"to","figure","out",0.801136363636364
"i just want",140,"i","just","want",0.0670498084291188
"im going to",140,"im","going","to",0.848484848484849
"a way to",139,"a","way","to",0.397142857142857
"thought it was",138,"thought","it","was",0.534883720930233
"went to the",138,"went","to","the",0.232715008431703
"at a time",137,"at","a","time",0.144820295983087
"for all the",137,"for","all","the",0.218152866242038
"that is the",137,"that","is","the",0.0843076923076923
"in new york",136,"in","new","york",0.56198347107438
"on my way",136,"on","my","way",0.0762331838565022
"that they are",136,"that","they","are",0.182795698924731
"the number of",136,"the","number","of",0.697435897435897
"to find a",136,"to","find","a",0.165651644336175
"going to have",135,"going","to","have",0.0376989667690589
"in a few",135,"in","a","few",0.0308008213552361
"the beginning of",135,"the","beginning","of",0.6
"a number of",134,"a","number","of",0.797619047619048
"just want to",134,"just","want","to",0.632075471698113
"of the time",134,"of","the","time",0.00853068500127324
"don't have to",133,"don't","have","to",0.278242677824268
"get out of",133,"get","out","of",0.496268656716418
"i would be",133,"i","would","be",0.0795454545454545
"the name of",133,"the","name","of",0.527777777777778
"to talk about",133,"to","talk","about",0.302272727272727
"more than a",132,"more","than","a",0.113013698630137
"thank you to",132,"thank","you","to",0.0553459119496855
"away from the",131,"away","from","the",0.265182186234818
"did you know",131,"did","you","know",0.164779874213836
"have no idea",131,"have","no","idea",0.276371308016878
"some of my",131,"some","of","my",0.111205432937182
"to deal with",131,"to","deal","with",0.942446043165468
"to do the",131,"to","do","the",0.0491188601424822
"happy birthday to",130,"happy","birthday","to",0.24904214559387
"i have the",130,"i","have","the",0.0283718900043649
"of all the",130,"of","all","the",0.201550387596899
"one of them",130,"one","of","them",0.043609527004361
"that you can",130,"that","you","can",0.120593692022263
"to meet you",130,"to","meet","you",0.265848670756646
"come up with",129,"come","up","with",0.658163265306122
"i wonder if",129,"i","wonder","if",0.435810810810811
"is on the",129,"is","on","the",0.278617710583153
"has to be",128,"has","to","be",0.3248730964467
"this is what",128,"this","is","what",0.0456490727532097
"dont want to",127,"dont","want","to",0.675531914893617
"to find out",127,"to","find","out",0.15468940316687
"want to know",127,"want","to","know",0.0416530009839292
"a good day",126,"a","good","day",0.0657620041753653
"all over the",126,"all","over","the",0.422818791946309
"at the moment",126,"at","the","moment",0.0237915407854985
"shout out to",126,"shout","out","to",0.518518518518518
"and of course",125,"and","of","course",0.573394495412844
"in my head",125,"in","my","head",0.0514191690662279
"that i had",125,"that","i","had",0.0434480361487661
"the only thing",125,"the","only","thing",0.122549019607843
"i was just",124,"i","was","just",0.0275005544466622
"the time to",124,"the","time","to",0.112217194570136
"up on the",124,"up","on","the",0.215277777777778
"up with a",124,"up","with","a",0.149577804583836
"want to do",124,"want","to","do",0.0406690718268285
"will be the",124,"will","be","the",0.0378973105134474
"bit of a",123,"bit","of","a",0.287383177570093
"it to the",123,"it","to","the",0.138357705286839
"seem to be",123,"seem","to","be",0.314578005115089
"to all of",123,"to","all","of",0.184407796101949
"to get out",123,"to","get","out",0.0381395348837209
"you can do",123,"you","can","do",0.0514214046822742
"i got to",122,"i","got","to",0.10312764158918
"no matter how",122,"no","matter","how",0.351585014409222
"take care of",122,"take","care","of",0.80794701986755
"that there is",122,"that","there","is",0.334246575342466
"there are a",122,"there","are","a",0.0891812865497076
"to listen to",122,"to","listen","to",0.80794701986755
"all of us",121,"all","of","us",0.0891016200294551
"i don't like",121,"i","don't","like",0.0534688466637207
"is the first",121,"is","the","first",0.0367334547662417
"so much fun",121,"so","much","fun",0.0699826489300173
"that was a",121,"that","was","a",0.113295880149813
"to see if",121,"to","see","if",0.0436823104693141
"and i love",120,"and","i","love",0.0276179516685846
"for you to",120,"for","you","to",0.115495668912416
"i guess i",120,"i","guess","i",0.175182481751825
"i was so",120,"i","was","so",0.0266134397870925
"out in the",120,"out","in","the",0.32520325203252
"to be on",120,"to","be","on",0.0167855644146034
"be in the",119,"be","in","the",0.198996655518395
"don't know what",119,"don't","know","what",0.17296511627907
"going to do",119,"going","to","do",0.0332309410779112
"i can get",119,"i","can","get",0.053125
"i love that",119,"i","love","that",0.0416229450856943
"is not the",119,"is","not","the",0.0719903206291591
"to check out",119,"to","check","out",0.397993311036789
"and i think",118,"and","i","think",0.0271576524741082
"as far as",118,"as","far","as",0.893939393939394
"at the top",118,"at","the","top",0.0222809667673716
"that he was",118,"that","he","was",0.154248366013072
"there was no",118,"there","was","no",0.1475
"to tell you",118,"to","tell","you",0.270022883295195
"in the house",117,"in","the","house",0.00790326938665226
"of the week",117,"of","the","week",0.00744843391902215
"that i can",117,"that","i","can",0.040667361835245
"the other day",117,"the","other","day",0.101474414570685
"getting ready for",116,"getting","ready","for",0.517857142857143
"in terms of",116,"in","terms","of",0.983050847457627
"is such a",116,"is","such","a",0.852941176470588
"it can be",116,"it","can","be",0.431226765799257
"the people who",116,"the","people","who",0.221797323135755
"to get it",116,"to","get","it",0.035968992248062
"to see a",116,"to","see","a",0.0418772563176895
"all of this",115,"all","of","this",0.0846833578792342
"every time i",115,"every","time","i",0.412186379928315
"for some reason",115,"for","some","reason",0.233739837398374
"i'm not sure",115,"i'm","not","sure",0.12609649122807
"the best of",115,"the","best","of",0.0609110169491525
"who wants to",115,"who","wants","to",0.798611111111111
"will not be",115,"will","not","be",0.319444444444444
"a year old",114,"a","year","old",0.212686567164179
"have to say",114,"have","to","say",0.0414545454545455
"in the s",114,"in","the","s",0.00770062145366117
"for all of",113,"for","all","of",0.179936305732484
"i can't believe",113,"i","can't","believe",0.0974978429680759
"i like the",113,"i","like","the",0.1281179138322
"i think it's",113,"i","think","it's",0.0401563610518834
"i think that",113,"i","think","that",0.0401563610518834
"to get my",113,"to","get","my",0.0350387596899225
"used to be",113,"used","to","be",0.163294797687861
"you and your",113,"you","and","your",0.151271753681392
"you going to",113,"you","going","to",0.719745222929936
"and if you",112,"and","if","you",0.253393665158371
"are you going",112,"are","you","going",0.070440251572327
"but i don't",112,"but","i","don't",0.041994750656168
"feel free to",112,"feel","free","to",0.941176470588235
"have to go",112,"have","to","go",0.0407272727272727
"i get a",112,"i","get","a",0.12280701754386
"i think we",112,"i","think","we",0.0398009950248756
"in the future",112,"in","the","future",0.00756552283166712
"it looks like",112,"it","looks","like",0.506787330316742
"many of the",112,"many","of","the",0.277915632754342
"and a half",111,"and","a","half",0.053314121037464
"and in the",111,"and","in","the",0.206703910614525
"to do a",111,"to","do","a",0.0416197975253093
"i can do",110,"i","can","do",0.0491071428571429
"i did not",110,"i","did","not",0.122905027932961
"i get to",110,"i","get","to",0.120614035087719
"make sure you",110,"make","sure","you",0.224948875255624
"of the first",110,"of","the","first",0.00700280112044818
"what it is",110,"what","it","is",0.307262569832402
"a few weeks",109,"a","few","weeks",0.0565059616381545
"a picture of",109,"a","picture","of",0.511737089201878
"and i are",109,"and","i","are",0.0250863060989643
"get back to",109,"get","back","to",0.439516129032258
"happy new year",109,"happy","new","year",0.83206106870229
"i'd like to",109,"i'd","like","to",0.795620437956204
"rt if you",109,"rt","if","you",0.514150943396226
"that you are",109,"that","you","are",0.101113172541744
"want to get",109,"want","to","get",0.035749426041325
"was a good",109,"was","a","good",0.0468615649183147
"was in the",109,"was","in","the",0.208812260536398
"when i get",109,"when","i","get",0.0475359790667248
"a piece of",108,"a","piece","of",0.72
"and then i",108,"and","then","i",0.075
"for the rest",108,"for","the","rest",0.0134111511238048
"how much i",108,"how","much","i",0.190140845070423
"of the new",108,"of","the","new",0.00687547746371276
"as you can",107,"as","you","can",0.232608695652174
"but i was",107,"but","i","was",0.0401199850018748
"don't forget to",107,"don't","forget","to",0.502347417840376
"due to the",107,"due","to","the",0.260340632603406
"front of the",107,"front","of","the",0.293956043956044
"that we are",107,"that","we","are",0.12313003452244
"and all the",106,"and","all","the",0.217659137577002
"are in the",106,"are","in","the",0.268354430379747
"if i can",106,"if","i","can",0.0700594844679445
"it was so",106,"it","was","so",0.025106584557082
"this is my",106,"this","is","my",0.0378031383737518
"time to get",106,"time","to","get",0.0828772478498827
"to go back",106,"to","go","back",0.0546955624355005
"up with the",106,"up","with","the",0.127864897466827
"you had a",106,"you","had","a",0.392592592592593
"you in the",106,"you","in","the",0.218556701030928
"a good thing",105,"a","good","thing",0.0548016701461378
"a pair of",105,"a","pair","of",0.867768595041322
"and i had",105,"and","i","had",0.0241657077100115
"do you want",105,"do","you","want",0.0569105691056911
"hope you have",105,"hope","you","have",0.155096011816839
"i dont think",105,"i","dont","think",0.112540192926045
"it's going to",105,"it's","going","to",0.875
"me and my",105,"me","and","my",0.122377622377622
"middle of the",105,"middle","of","the",0.479452054794521
"sounds like a",105,"sounds","like","a",0.352348993288591
"the bottom of",105,"the","bottom","of",0.479452054794521
"the same way",105,"the","same","way",0.0518262586377098
"to take the",105,"to","take","the",0.0991501416430595
"what kind of",105,"what","kind","of",0.905172413793103
"a good time",104,"a","good","time",0.0542797494780793
"a group of",104,"a","group","of",0.63030303030303
"as a result",104,"as","a","result",0.0425531914893617
"not to be",104,"not","to","be",0.130489335006274
"to do this",104,"to","do","this",0.0389951256092988
"to try to",104,"to","try","to",0.219873150105708
"want you to",104,"want","you","to",0.693333333333333
"we want to",104,"we","want","to",0.577777777777778
"you don't have",104,"you","don't","have",0.156156156156156
"happy mother's day",103,"happy","mother's","day",0.971698113207547
"may not be",103,"may","not","be",0.358885017421603
"out to be",103,"out","to","be",0.132390745501285
"out to the",103,"out","to","the",0.132390745501285
"when you are",103,"when","you","are",0.0757910228108904
"a series of",102,"a","series","of",0.766917293233083
"down to the",102,"down","to","the",0.248175182481752
"if you do",102,"if","you","do",0.0265348595213319
"in the next",102,"in","the","next",0.00689002972169684
"it should be",102,"it","should","be",0.618181818181818
"know if you",102,"know","if","you",0.284916201117318
"to do that",102,"to","do","that",0.0382452193475816
"would be the",102,"would","be","the",0.0575296108291032
"you can get",102,"you","can","get",0.0426421404682274
"a few years",101,"a","few","years",0.0523587350959046
"as part of",101,"as","part","of",1
"but if you",101,"but","if","you",0.331147540983607
"have been a",101,"have","been","a",0.0551310043668122
"he was a",101,"he","was","a",0.0744288872512896
"i had the",101,"i","had","the",0.0459090909090909
"is the most",101,"is","the","most",0.0306618093503339
"let you know",101,"let","you","know",0.540106951871658
"the next day",101,"the","next","day",0.0970220941402498
"they are not",101,"they","are","not",0.0567734682405846
"with all the",101,"with","all","the",0.286931818181818
"a lot more",100,"a","lot","more",0.0520020800832033
"feel like i",100,"feel","like","i",0.148148148148148
"i don't even",100,"i","don't","even",0.0441891294741494
"i still have",100,"i","still","have",0.188679245283019
"if i had",100,"if","i","had",0.0660938532716457
"on the road",100,"on","the","road",0.0127811860940695
"over and over",100,"over","and","over",0.390625
"to see how",100,"to","see","how",0.036101083032491
"to see it",100,"to","see","it",0.036101083032491
"where are you",100,"where","are","you",0.561797752808989
"you know the",100,"you","know","the",0.0619195046439628
"can be a",99,"can","be","a",0.0843989769820972
"go to sleep",99,"go","to","sleep",0.0770428015564202
"going to get",99,"going","to","get",0.0276459089639765
"have a lot",99,"have","a","lot",0.0277155655095185
"i could have",99,"i","could","have",0.0798387096774194
"i love this",99,"i","love","this",0.0346274921301154
"is the only",99,"is","the","only",0.0300546448087432
"just a few",99,"just","a","few",0.134146341463415
"much as i",99,"much","as","i",0.315286624203822
"of course i",99,"of","course","i",0.0909926470588235
"see you there",99,"see","you","there",0.103991596638655
"so excited to",99,"so","excited","to",0.28695652173913
"those of you",99,"those","of","you",0.523809523809524
"to be an",99,"to","be","an",0.0138480906420478
"to do so",99,"to","do","so",0.0371203599550056
"all of you",98,"all","of","you",0.0721649484536082
"and i don't",98,"and","i","don't",0.0225546605293441
"as it is",98,"as","it","is",0.210300429184549
"by the time",98,"by","the","time",0.0464675201517307
"for the last",98,"for","the","last",0.0121693778716006
"i can see",98,"i","can","see",0.04375
"i try to",98,"i","try","to",0.657718120805369
"i want a",98,"i","want","a",0.0648148148148148
"in a while",98,"in","a","while",0.0223591147615788
"in addition to",98,"in","addition","to",0.662162162162162
"is that the",98,"is","that","the",0.0808580858085809
"my way to",98,"my","way","to",0.392
"so we can",98,"so","we","can",0.246851385390428
"the other side",98,"the","other","side",0.0849956634865568
"to work on",98,"to","work","on",0.122042341220423
"what is the",98,"what","is","the",0.120245398773006
"are you doing",97,"are","you","doing",0.0610062893081761
"i know you",97,"i","know","you",0.0486703462117411
"if i could",97,"if","i","could",0.0641110376734964
"in the way",97,"in","the","way",0.0065522831667117
"one of our",97,"one","of","our",0.0325394163032539
"the power of",97,"the","power","of",0.453271028037383
"to look at",97,"to","look","at",0.257978723404255
"to think about",97,"to","think","about",0.2425
"wish i was",97,"wish","i","was",0.192842942345924
"have to get",96,"have","to","get",0.0349090909090909
"know what to",96,"know","what","to",0.122137404580153
"the amount of",96,"the","amount","of",0.849557522123894
"the last time",96,"the","last","time",0.0855614973262032
"the use of",96,"the","use","of",0.932038834951456
"to create a",96,"to","create","a",0.334494773519164
"to work with",96,"to","work","with",0.119551681195517
"and that is",95,"and","that","is",0.122107969151671
"be the best",95,"be","the","best",0.0915221579961464
"for those who",95,"for","those","who",0.279411764705882
"i am still",95,"i","am","still",0.021305225386858
"i think you",95,"i","think","you",0.0337597725657427
"i will have",95,"i","will","have",0.053885422575156
"if it was",95,"if","it","was",0.180265654648956
"if you need",95,"if","you","need",0.0247138397502601
"in the city",95,"in","the","city",0.00641718454471764
"of the people",95,"of","the","people",0.00604787369493252
"on the floor",95,"on","the","floor",0.0121421267893661
"the world is",95,"the","world","is",0.0612903225806452
"wait for the",95,"wait","for","the",0.238693467336683
"when you have",95,"when","you","have",0.0699043414275202
"a matter of",94,"a","matter","of",0.92156862745098
"and i can",94,"and","i","can",0.0216340621403913
"any of the",94,"any","of","the",0.288343558282209
"so you can",94,"so","you","can",0.299363057324841
"some sort of",94,"some","sort","of",0.912621359223301
"to do something",94,"to","do","something",0.0352455943007124
"to get some",94,"to","get","some",0.0291472868217054
"to me and",94,"to","me","and",0.0616393442622951
"to say i",94,"to","say","i",0.0861594867094409
"was the first",94,"was","the","first",0.0783333333333333
"you are not",94,"you","are","not",0.0388751033912324
"you have any",94,"you","have","any",0.0458984375
"all of my",93,"all","of","my",0.0684830633284242
"and this is",93,"and","this","is",0.273529411764706
"be on the",93,"be","on","the",0.265714285714286
"don't have a",93,"don't","have","a",0.194560669456067
"for a new",93,"for","a","new",0.0235323886639676
"i had no",93,"i","had","no",0.0422727272727273
"i tried to",93,"i","tried","to",0.492063492063492
"if i was",93,"if","i","was",0.0614672835426305
"just wanted to",93,"just","wanted","to",0.902912621359223
"looks like a",93,"looks","like","a",0.175471698113208
"love to see",93,"love","to","see",0.13061797752809
"me in the",93,"me","in","the",0.22962962962963
