"term","freq","s1","s2","s3","s4","prob"
"know what to do",15,"know","what","to","do",0.454545454545455
"looking forward to seeing",15,"looking","forward","to","seeing",0.0862068965517241
"most of the time",15,"most","of","the","time",0.288461538461538
"no no no no",15,"no","no","no","no",0.833333333333333
"the back of the",15,"the","back","of","the",0.405405405405405
"the only thing that",15,"the","only","thing","that",0.405405405405405
"there are so many",15,"there","are","so","many",0.9375
"there will be a",15,"there","will","be","a",0.365853658536585
"to get to the",15,"to","get","to","the",0.348837209302326
"you so much for",15,"you","so","much","for",0.234375
"are going to be",14,"are","going","to","be",0.325581395348837
"as you can see",14,"as","you","can","see",0.466666666666667
"for the most part",14,"for","the","most","part",0.777777777777778
"have no idea what",14,"have","no","idea","what",0.341463414634146
"i have to go",14,"i","have","to","go",0.1
"i love you i",14,"i","love","you","i",0.1
"i wish i was",14,"i","wish","i","was",0.177215189873418
"in the last few",14,"in","the","last","few",0.311111111111111
"in the midst of",14,"in","the","midst","of",0.933333333333333
"thanks for the ff",14,"thanks","for","the","ff",0.043343653250774
"thanks for the mention",14,"thanks","for","the","mention",0.043343653250774
"the rest of us",14,"the","rest","of","us",0.102941176470588
"to be a good",14,"to","be","a","good",0.0642201834862385
"to go back to",14,"to","go","back","to",0.56
"what to do with",14,"what","to","do","with",0.297872340425532
"would be a good",14,"would","be","a","good",0.245614035087719
"you don't have to",14,"you","don't","have","to",0.7
"a little bit of",13,"a","little","bit","of",0.270833333333333
"a lot of the",13,"a","lot","of","the",0.0485074626865672
"a member of the",13,"a","member","of","the",0.52
"and the fact that",13,"and","the","fact","that",1
"do you have a",13,"do","you","have","a",0.245283018867925
"do you want to",13,"do","you","want","to",0.448275862068966
"end of the day",13,"end","of","the","day",0.180555555555556
"hope you have a",13,"hope","you","have","a",0.5
"i don't know how",13,"i","don't","know","how",0.134020618556701
"i don't know if",13,"i","don't","know","if",0.134020618556701
"i want you to",13,"i","want","you","to",0.65
"i went to the",13,"i","went","to","the",0.236363636363636
"if you have any",13,"if","you","have","any",0.168831168831169
"in the form of",13,"in","the","form","of",1
"in the name of",13,"in","the","name","of",0.8125
"in the way of",13,"in","the","way","of",0.419354838709677
"is one of those",13,"is","one","of","those",0.12037037037037
"it would be a",13,"it","would","be","a",0.131313131313131
"over the course of",13,"over","the","course","of",1
"thank you for your",13,"thank","you","for","your",0.0942028985507246
"thanks to everyone who",13,"thanks","to","everyone","who",0.722222222222222
"want to go to",13,"want","to","go","to",0.342105263157895
"was going to be",13,"was","going","to","be",0.203125
"when i was a",13,"when","i","was","a",0.13265306122449
"would you like to",13,"would","you","like","to",0.8125
"you i love you",13,"you","i","love","you",0.866666666666667
"a couple of days",12,"a","couple","of","days",0.0851063829787234
"as a result of",12,"as","a","result","of",0.4
"as long as you",12,"as","long","as","you",0.19047619047619
"as well as a",12,"as","well","as","a",0.0930232558139535
"did you know that",12,"did","you","know","that",0.324324324324324
"do you have any",12,"do","you","have","any",0.226415094339623
"don't know what to",12,"don't","know","what","to",0.352941176470588
"forward to seeing you",12,"forward","to","seeing","you",0.521739130434783
"going to be the",12,"going","to","be","the",0.0638297872340425
"have to go to",12,"have","to","go","to",0.413793103448276
"i'm going to be",12,"i'm","going","to","be",0.127659574468085
"i feel like i'm",12,"i","feel","like","i'm",0.125
"i just want to",12,"i","just","want","to",0.545454545454545
"i love you so",12,"i","love","you","so",0.0857142857142857
"if you are interested",12,"if","you","are","interested",0.133333333333333
"in a couple of",12,"in","a","couple","of",0.75
"it was a great",12,"it","was","a","great",0.0740740740740741
"let us know if",12,"let","us","know","if",0.324324324324324
"looking forward to it",12,"looking","forward","to","it",0.0689655172413793
"looking forward to your",12,"looking","forward","to","your",0.0689655172413793
"may or may not",12,"may","or","may","not",1
"nothing to do with",12,"nothing","to","do","with",0.666666666666667
"on the other side",12,"on","the","other","side",0.25531914893617
"on the way to",12,"on","the","way","to",0.27906976744186
"on top of the",12,"on","top","of","the",0.3
"one of the first",12,"one","of","the","first",0.0365853658536585
"thank you for following",12,"thank","you","for","following",0.0869565217391304
"thank you thank you",12,"thank","you","thank","you",1
"thank you to all",12,"thank","you","to","all",0.333333333333333
"thanks for stopping by",12,"thanks","for","stopping","by",0.8
"the name of the",12,"the","name","of","the",0.324324324324324
"this is the first",12,"this","is","the","first",0.118811881188119
"to be a part",12,"to","be","a","part",0.055045871559633
"to get back to",12,"to","get","back","to",0.545454545454545
"to get rid of",12,"to","get","rid","of",1
"to see you soon",12,"to","see","you","soon",0.117647058823529
"trying to figure out",12,"trying","to","figure","out",0.8
"turned out to be",12,"turned","out","to","be",1
"want to be a",12,"want","to","be","a",0.153846153846154
"what are you doing",12,"what","are","you","doing",0.244897959183673
"would love to see",12,"would","love","to","see",0.148148148148148
"you have a great",12,"you","have","a","great",0.127659574468085
"a big fan of",11,"a","big","fan","of",0.785714285714286
"a part of the",11,"a","part","of","the",0.234042553191489
"do you think the",11,"do","you","think","the",0.150684931506849
"fell in love with",11,"fell","in","love","with",0.916666666666667
"find a way to",11,"find","a","way","to",0.785714285714286
"for a chance to",11,"for","a","chance","to",0.846153846153846
"for all of the",11,"for","all","of","the",0.305555555555556
"happy mothers day to",11,"happy","mothers","day","to",0.354838709677419
"i'm looking forward to",11,"i'm","looking","forward","to",1
"i can't wait for",11,"i","can't","wait","for",0.174603174603175
"i need to go",11,"i","need","to","go",0.0728476821192053
"makes me want to",11,"makes","me","want","to",0.785714285714286
"nice to meet you",11,"nice","to","meet","you",0.916666666666667
"once upon a time",11,"once","upon","a","time",1
"thanks for the shout",11,"thanks","for","the","shout",0.0340557275541796
"that it was a",11,"that","it","was","a",0.207547169811321
"the beginning of the",11,"the","beginning","of","the",0.366666666666667
"the first day of",11,"the","first","day","of",0.6875
"the other side of",11,"the","other","side","of",0.5
"there are a lot",11,"there","are","a","lot",0.379310344827586
"this is what i",11,"this","is","what","i",0.305555555555556
"to be one of",11,"to","be","one","of",0.785714285714286
"to get out of",11,"to","get","out","of",0.392857142857143
"to look forward to",11,"to","look","forward","to",1
"to see you there",11,"to","see","you","there",0.107843137254902
"wait to see you",11,"wait","to","see","you",0.2
"we hope to see",11,"we","hope","to","see",0.733333333333333
"you don't want to",11,"you","don't","want","to",0.611111111111111
"you have to be",11,"you","have","to","be",0.129411764705882
"you know what i",11,"you","know","what","i",0.314285714285714
"you want to be",11,"you","want","to","be",0.11
"you would like to",11,"you","would","like","to",0.733333333333333
"a few weeks ago",10,"a","few","weeks","ago",0.384615384615385
"a good idea to",10,"a","good","idea","to",0.344827586206897
"and the rest of",10,"and","the","rest","of",0.666666666666667
"are a lot of",10,"are","a","lot","of",0.769230769230769
"as long as i",10,"as","long","as","i",0.158730158730159
"as part of the",10,"as","part","of","the",0.526315789473684
"at the age of",10,"at","the","age","of",1
"be a good day",10,"be","a","good","day",0.181818181818182
"be the first to",10,"be","the","first","to",0.555555555555556
"big fat independent movie",10,"big","fat","independent","movie",1
"by the end of",10,"by","the","end","of",0.833333333333333
"for all of us",10,"for","all","of","us",0.277777777777778
"going to have to",10,"going","to","have","to",0.416666666666667
"had a chance to",10,"had","a","chance","to",0.833333333333333
"had a lot of",10,"had","a","lot","of",0.769230769230769
"how much i love",10,"how","much","i","love",0.357142857142857
"i'm not going to",10,"i'm","not","going","to",0.909090909090909
"i am not a",10,"i","am","not","a",0.142857142857143
"i didn't want to",10,"i","didn't","want","to",0.625
"i don't have a",10,"i","don't","have","a",0.217391304347826
"i don't know why",10,"i","don't","know","why",0.103092783505155
"i dont know if",10,"i","dont","know","if",0.185185185185185
"i feel like a",10,"i","feel","like","a",0.104166666666667
"i had no idea",10,"i","had","no","idea",0.454545454545455
"i have to admit",10,"i","have","to","admit",0.0714285714285714
"i have to do",10,"i","have","to","do",0.0714285714285714
"i need to be",10,"i","need","to","be",0.0662251655629139
"i really need to",10,"i","really","need","to",0.625
"i really want to",10,"i","really","want","to",0.769230769230769
"i think i was",10,"i","think","i","was",0.103092783505155
"i think it was",10,"i","think","it","was",0.204081632653061
"i want to do",10,"i","want","to","do",0.0529100529100529
"i will have to",10,"i","will","have","to",0.454545454545455
"in a way that",10,"in","a","way","that",0.434782608695652
"in the near future",10,"in","the","near","future",1
"in the united states",10,"in","the","united","states",0.909090909090909
"it has been a",10,"it","has","been","a",0.32258064516129
"it was the first",10,"it","was","the","first",0.217391304347826
"just in time for",10,"just","in","time","for",0.714285714285714
"keep up the great",10,"keep","up","the","great",0.555555555555556
"love you i love",10,"love","you","i","love",0.625
"love you so much",10,"love","you","so","much",0.666666666666667
"my big fat independent",10,"my","big","fat","independent",0.909090909090909
"my husband and i",10,"my","husband","and","i",0.833333333333333
"north dakota home school",10,"north","dakota","home","school",1
"one of my favorites",10,"one","of","my","favorites",0.0746268656716418
"one of the things",10,"one","of","the","things",0.0304878048780488
"please feel free to",10,"please","feel","free","to",1
"so i can get",10,"so","i","can","get",0.161290322580645
"so i decided to",10,"so","i","decided","to",0.769230769230769
"some of the most",10,"some","of","the","most",0.078740157480315
"take a look at",10,"take","a","look","at",0.476190476190476
"thanks for following me",10,"thanks","for","following","me",0.175438596491228
"the fact that the",10,"the","fact","that","the",0.0884955752212389
"the first time i",10,"the","first","time","i",0.103092783505155
"the north dakota home",10,"the","north","dakota","home",0.5
"this is a great",10,"this","is","a","great",0.0900900900900901
"to all of you",10,"to","all","of","you",0.303030303030303
"to come up with",10,"to","come","up","with",1
"to learn how to",10,"to","learn","how","to",0.909090909090909
"to take care of",10,"to","take","care","of",1
"to the point where",10,"to","the","point","where",0.454545454545455
"to the rest of",10,"to","the","rest","of",0.909090909090909
"up the great work",10,"up","the","great","work",1
"what can i say",10,"what","can","i","say",0.714285714285714
"what i wanted to",10,"what","i","wanted","to",0.769230769230769
"what is your favorite",10,"what","is","your","favorite",0.384615384615385
"what you want to",10,"what","you","want","to",0.4
"why is it that",10,"why","is","it","that",0.454545454545455
"you can see the",10,"you","can","see","the",0.238095238095238
"you want to do",10,"you","want","to","do",0.1
"a couple of years",9,"a","couple","of","years",0.0638297872340425
"a few months ago",9,"a","few","months","ago",0.346153846153846
"a great deal of",9,"a","great","deal","of",0.45
"a huge fan of",9,"a","huge","fan","of",0.5625
"a lot of fun",9,"a","lot","of","fun",0.0335820895522388
"all over the place",9,"all","over","the","place",0.25
"am i the only",9,"am","i","the","only",1
"and i have to",9,"and","i","have","to",0.142857142857143
"and i will be",9,"and","i","will","be",0.195652173913043
"and one of the",9,"and","one","of","the",0.692307692307692
"are you coming to",9,"are","you","coming","to",0.6
"as one of the",9,"as","one","of","the",0.529411764705882
"awkward moment when you",9,"awkward","moment","when","you",0.391304347826087
"been a while since",9,"been","a","while","since",0.692307692307692
"but i have a",9,"but","i","have","a",0.290322580645161
"but it is a",9,"but","it","is","a",0.18
"but it was a",9,"but","it","was","a",0.204545454545455
"day to all the",9,"day","to","all","the",0.5
"don't know how to",9,"don't","know","how","to",0.473684210526316
"every now and then",9,"every","now","and","then",0.818181818181818
"everyone who came out",9,"everyone","who","came","out",1
"for the shout out",9,"for","the","shout","out",0.692307692307692
"for those of you",9,"for","those","of","you",0.692307692307692
"get out of the",9,"get","out","of","the",0.36
"ha ha ha ha",9,"ha","ha","ha","ha",0.428571428571429
"have no idea how",9,"have","no","idea","how",0.219512195121951
"he was going to",9,"he","was","going","to",0.818181818181818
"hope you had a",9,"hope","you","had","a",0.75
"i'll let you know",9,"i'll","let","you","know",0.818181818181818
"i can't help but",9,"i","can't","help","but",0.9
"i had a dream",9,"i","had","a","dream",0.0947368421052632
"i hate when people",9,"i","hate","when","people",0.409090909090909
"i like to think",9,"i","like","to","think",0.195652173913043
"i miss you too",9,"i","miss","you","too",0.204545454545455
"i think it is",9,"i","think","it","is",0.183673469387755
"i was at the",9,"i","was","at","the",0.375
"i wonder if the",9,"i","wonder","if","the",0.236842105263158
"in a few weeks",9,"in","a","few","weeks",0.264705882352941
"in a good way",9,"in","a","good","way",0.473684210526316
"in one of the",9,"in","one","of","the",0.391304347826087
"in order to get",9,"in","order","to","get",0.115384615384615
"is supposed to be",9,"is","supposed","to","be",0.6
"it was one of",9,"it","was","one","of",0.9
"it would have been",9,"it","would","have","been",0.642857142857143
"looking forward to a",9,"looking","forward","to","a",0.0517241379310345
"might be able to",9,"might","be","able","to",1
"north dakota snowmobile trail",9,"north","dakota","snowmobile","trail",1
"not a fan of",9,"not","a","fan","of",0.75
"of some of the",9,"of","some","of","the",0.6
"on the side of",9,"on","the","side","of",0.428571428571429
"one of these days",9,"one","of","these","days",0.272727272727273
"over and over again",9,"over","and","over","again",0.36
"see if i can",9,"see","if","i","can",0.642857142857143
"some of the best",9,"some","of","the","best",0.0708661417322835
"take the time to",9,"take","the","time","to",0.9
"thank you to everyone",9,"thank","you","to","everyone",0.25
"that i had to",9,"that","i","had","to",0.272727272727273
"that i have to",9,"that","i","have","to",0.118421052631579
"that it would be",9,"that","it","would","be",0.5625
"the fact that we",9,"the","fact","that","we",0.079646017699115
"the front of the",9,"the","front","of","the",0.5625
"the middle of a",9,"the","middle","of","a",0.160714285714286
"the north dakota snowmobile",9,"the","north","dakota","snowmobile",0.45
"the only one that",9,"the","only","one","that",0.264705882352941
"there is a lot",9,"there","is","a","lot",0.0865384615384615
"there is so much",9,"there","is","so","much",1
"this time of year",9,"this","time","of","year",0.9
"to be in the",9,"to","be","in","the",0.2
"to check out the",9,"to","check","out","the",0.28125
"to do with it",9,"to","do","with","it",0.12
"to see you at",9,"to","see","you","at",0.0882352941176471
"to the fact that",9,"to","the","fact","that",0.9
"wait to see the",9,"wait","to","see","the",0.163636363636364
"we were able to",9,"we","were","able","to",1
"what i can do",9,"what","i","can","do",0.5
"with the help of",9,"with","the","help","of",1
"with the rest of",9,"with","the","rest","of",0.9
"would love to have",9,"would","love","to","have",0.111111111111111
"you dont have to",9,"you","dont","have","to",0.692307692307692
"you need to do",9,"you","need","to","do",0.128571428571429
"you please follow me",9,"you","please","follow","me",1
"a chance to win",8,"a","chance","to","win",0.173913043478261
"a lot of time",8,"a","lot","of","time",0.0298507462686567
"and a lot of",8,"and","a","lot","of",0.727272727272727
"and i have been",8,"and","i","have","been",0.126984126984127
"and thanks for the",8,"and","thanks","for","the",0.4
"as a matter of",8,"as","a","matter","of",1
"at the university of",8,"at","the","university","of",0.888888888888889
"by the way i",8,"by","the","way","i",0.186046511627907
"can't wait to hear",8,"can't","wait","to","hear",0.0714285714285714
"come up with a",8,"come","up","with","a",0.258064516129032
"every single one of",8,"every","single","one","of",0.888888888888889
"figure out how to",8,"figure","out","how","to",0.615384615384615
"for a few days",8,"for","a","few","days",0.205128205128205
"good to see you",8,"good","to","see","you",0.615384615384615
"had so much fun",8,"had","so","much","fun",1
"have a great time",8,"have","a","great","time",0.0941176470588235
"here are a few",8,"here","are","a","few",0.666666666666667
"i am happy to",8,"i","am","happy","to",0.8
"i am pretty sure",8,"i","am","pretty","sure",1
"i am ready to",8,"i","am","ready","to",0.888888888888889
"i am trying to",8,"i","am","trying","to",0.888888888888889
"i can think of",8,"i","can","think","of",0.666666666666667
"i cant wait to",8,"i","cant","wait","to",0.421052631578947
"i don't even know",8,"i","don't","even","know",0.4
"i have a lot",8,"i","have","a","lot",0.0536912751677852
"i just need to",8,"i","just","need","to",0.380952380952381
"i just wanted to",8,"i","just","wanted","to",0.888888888888889
"i think i can",8,"i","think","i","can",0.0824742268041237
"i think i have",8,"i","think","i","have",0.0824742268041237
"i want to see",8,"i","want","to","see",0.0423280423280423
"i wanted to do",8,"i","wanted","to","do",0.0963855421686747
"if i have to",8,"if","i","have","to",0.444444444444444
"if they want to",8,"if","they","want","to",0.8
"if you do not",8,"if","you","do","not",0.347826086956522
"if you don't know",8,"if","you","don't","know",0.153846153846154
"if you don't like",8,"if","you","don't","like",0.153846153846154
"in a good mood",8,"in","a","good","mood",0.421052631578947
"in addition to the",8,"in","addition","to","the",0.275862068965517
"in front of a",8,"in","front","of","a",0.106666666666667
"in the process of",8,"in","the","process","of",0.285714285714286
"in the same way",8,"in","the","same","way",0.205128205128205
"is a good thing",8,"is","a","good","thing",0.163265306122449
"is a lot of",8,"is","a","lot","of",0.5
"it's gonna be a",8,"it's","gonna","be","a",0.444444444444444
"it has to be",8,"it","has","to","be",0.571428571428571
"it is important to",8,"it","is","important","to",0.571428571428571
"it used to be",8,"it","used","to","be",0.888888888888889
"it was going to",8,"it","was","going","to",0.666666666666667
"it was just a",8,"it","was","just","a",0.258064516129032
"it was nice to",8,"it","was","nice","to",0.444444444444444
"know if you need",8,"know","if","you","need",0.25
"my way to the",8,"my","way","to","the",0.242424242424242
"of the things that",8,"of","the","things","that",0.4
"on a regular basis",8,"on","a","regular","basis",0.888888888888889
"on the big screen",8,"on","the","big","screen",0.727272727272727
"once in a while",8,"once","in","a","while",0.8
"one of the biggest",8,"one","of","the","biggest",0.024390243902439
"one of the few",8,"one","of","the","few",0.024390243902439
"out of the house",8,"out","of","the","house",0.0555555555555556
"over the past few",8,"over","the","past","few",0.333333333333333
"please follow me i",8,"please","follow","me","i",0.2
"see what i can",8,"see","what","i","can",0.470588235294118
"sounds like a plan",8,"sounds","like","a","plan",0.25
"thank you for making",8,"thank","you","for","making",0.0579710144927536
"thanks for the tweet",8,"thanks","for","the","tweet",0.0247678018575851
"that i have been",8,"that","i","have","been",0.105263157894737
"that i will be",8,"that","i","will","be",0.296296296296296
"that there was a",8,"that","there","was","a",0.533333333333333
"the back of my",8,"the","back","of","my",0.216216216216216
"the center of the",8,"the","center","of","the",0.533333333333333
"the heart of the",8,"the","heart","of","the",0.380952380952381
"the last couple of",8,"the","last","couple","of",1
"the new york times",8,"the","new","york","times",0.533333333333333
"the only one who",8,"the","only","one","who",0.235294117647059
"the side of the",8,"the","side","of","the",0.5
"there are a few",8,"there","are","a","few",0.275862068965517
"they seem to be",8,"they","seem","to","be",0.666666666666667
"this is not a",8,"this","is","not","a",0.205128205128205
"those of you who",8,"those","of","you","who",0.666666666666667
"time for me to",8,"time","for","me","to",0.666666666666667
"to be on the",8,"to","be","on","the",0.307692307692308
"to be part of",8,"to","be","part","of",1
"to do the same",8,"to","do","the","same",0.19047619047619
"to everyone who came",8,"to","everyone","who","came",0.444444444444444
"to figure out how",8,"to","figure","out","how",0.242424242424242
"to go to sleep",8,"to","go","to","sleep",0.0816326530612245
"to keep up with",8,"to","keep","up","with",0.571428571428571
"to live in the",8,"to","live","in","the",0.533333333333333
"to say the least",8,"to","say","the","least",0.444444444444444
"to see you in",8,"to","see","you","in",0.0784313725490196
"was the first time",8,"was","the","first","time",0.242424242424242
"we would love to",8,"we","would","love","to",0.888888888888889
"what do you want",8,"what","do","you","want",0.106666666666667
"what is going on",8,"what","is","going","on",0.727272727272727
"when i was little",8,"when","i","was","little",0.0816326530612245
"who came out to",8,"who","came","out","to",0.571428571428571
"wish i could have",8,"wish","i","could","have",0.19047619047619
"with a bunch of",8,"with","a","bunch","of",1
"you are interested in",8,"you","are","interested","in",0.615384615384615
"you can do it",8,"you","can","do","it",0.363636363636364
"you for the follow",8,"you","for","the","follow",0.148148148148148
"you just have to",8,"you","just","have","to",1
"you want me to",8,"you","want","me","to",0.888888888888889
"a copy of the",7,"a","copy","of","the",0.4375
"a few of the",7,"a","few","of","the",0.333333333333333
"a friend of mine",7,"a","friend","of","mine",0.636363636363636
"a good time to",7,"a","good","time","to",0.233333333333333
"a hell of a",7,"a","hell","of","a",1
"a lot of things",7,"a","lot","of","things",0.0261194029850746
"all over the world",7,"all","over","the","world",0.194444444444444
"all you need to",7,"all","you","need","to",0.636363636363636
"and i can't wait",7,"and","i","can't","wait",0.388888888888889
"and i had a",7,"and","i","had","a",0.241379310344828
"and i want to",7,"and","i","want","to",0.466666666666667
"and i went to",7,"and","i","went","to",0.583333333333333
"and thank you for",7,"and","thank","you","for",0.411764705882353
"as much as you",7,"as","much","as","you",0.111111111111111
"at the start of",7,"at","the","start","of",1
"back in the day",7,"back","in","the","day",0.152173913043478
"be a lot of",7,"be","a","lot","of",0.538461538461538
"but then again i",7,"but","then","again","i",0.636363636363636
"but there is a",7,"but","there","is","a",0.368421052631579
"can't wait to get",7,"can't","wait","to","get",0.0625
"can i get a",7,"can","i","get","a",0.538461538461538
"do the right thing",7,"do","the","right","thing",1
"does it take to",7,"does","it","take","to",0.777777777777778
"don't want to be",7,"don't","want","to","be",0.114754098360656
"every once in a",7,"every","once","in","a",1
"fall in love with",7,"fall","in","love","with",0.583333333333333
"find the time to",7,"find","the","time","to",1
"follow me i love",7,"follow","me","i","love",0.411764705882353
"forward to your tweets",7,"forward","to","your","tweets",0.466666666666667
"give us a call",7,"give","us","a","call",0.466666666666667
"glad to hear you",7,"glad","to","hear","you",0.411764705882353
"going to have a",7,"going","to","have","a",0.291666666666667
"going to make a",7,"going","to","make","a",0.333333333333333
"going to try to",7,"going","to","try","to",0.466666666666667
"had a good time",7,"had","a","good","time",0.318181818181818
"happy mother's day to",7,"happy","mother's","day","to",0.291666666666667
"have the right to",7,"have","the","right","to",0.7
"i'm pretty sure i",7,"i'm","pretty","sure","i",0.304347826086957
"i came up with",7,"i","came","up","with",1
"i can tell you",7,"i","can","tell","you",0.466666666666667
"i decided to go",7,"i","decided","to","go",0.11864406779661
"i decided to make",7,"i","decided","to","make",0.11864406779661
"i do have a",7,"i","do","have","a",0.466666666666667
"i don't have time",7,"i","don't","have","time",0.152173913043478
"i don't have to",7,"i","don't","have","to",0.152173913043478
"i don't think so",7,"i","don't","think","so",0.116666666666667
"i dont know what",7,"i","dont","know","what",0.12962962962963
"i had a great",7,"i","had","a","great",0.0736842105263158
"i have to get",7,"i","have","to","get",0.05
"i hope that you",7,"i","hope","that","you",0.333333333333333
"i hope you have",7,"i","hope","you","have",0.102941176470588
"i just had to",7,"i","just","had","to",0.4375
"i just love the",7,"i","just","love","the",0.333333333333333
"i knew it was",7,"i","knew","it","was",0.4375
"i know i have",7,"i","know","i","have",0.120689655172414
"i know you are",7,"i","know","you","are",0.25
"i love it when",7,"i","love","it","when",0.145833333333333
"i may or may",7,"i","may","or","may",1
"i think he is",7,"i","think","he","is",0.466666666666667
"i want to know",7,"i","want","to","know",0.037037037037037
"i wanted to be",7,"i","wanted","to","be",0.0843373493975904
"i was a kid",7,"i","was","a","kid",0.14
"i was in the",7,"i","was","in","the",0.137254901960784
"i was supposed to",7,"i","was","supposed","to",1
"i was wondering if",7,"i","was","wondering","if",0.875
"i was working on",7,"i","was","working","on",0.7
"i will never forget",7,"i","will","never","forget",0.368421052631579
"if i had a",7,"if","i","had","a",0.318181818181818
"if you'd like to",7,"if","you'd","like","to",0.875
"if you look at",7,"if","you","look","at",0.538461538461538
"in love with the",7,"in","love","with","the",0.12962962962963
"in my life i",7,"in","my","life","i",0.116666666666667
"in new york city",7,"in","new","york","city",0.2
"in the back of",7,"in","the","back","of",0.388888888888889
"in the case of",7,"in","the","case","of",0.7
"in the first round",7,"in","the","first","round",0.134615384615385
"in the heart of",7,"in","the","heart","of",0.636363636363636
