"term","freq","s1","s2","s3","s4","prob"
"all the way to",36,"all","the","way","to",0.204545454545455
"and i want to",36,"and","i","want","to",0.610169491525424
"as one of the",36,"as","one","of","the",0.654545454545455
"forward to seeing you",36,"forward","to","seeing","you",0.418604651162791
"get out of the",36,"get","out","of","the",0.270676691729323
"going to be the",36,"going","to","be","the",0.0482573726541555
"i have to go",36,"i","have","to","go",0.0641711229946524
"i was trying to",36,"i","was","trying","to",0.947368421052632
"i will have to",36,"i","will","have","to",0.378947368421053
"in a long time",36,"in","a","long","time",0.666666666666667
"look forward to seeing",36,"look","forward","to","seeing",0.157894736842105
"makes me want to",36,"makes","me","want","to",0.878048780487805
"no no no no",36,"no","no","no","no",0.610169491525424
"one of the things",36,"one","of","the","things",0.0277136258660508
"thanks to everyone who",36,"thanks","to","everyone","who",0.590163934426229
"that there is a",36,"that","there","is","a",0.295081967213115
"the only thing that",36,"the","only","thing","that",0.288
"this is going to",36,"this","is","going","to",0.818181818181818
"time for me to",36,"time","for","me","to",0.75
"to be in the",36,"to","be","in","the",0.170616113744076
"to be on the",36,"to","be","on","the",0.3
"don't know how to",35,"don't","know","how","to",0.388888888888889
"i don't think i",35,"i","don't","think","i",0.146443514644351
"i have a lot",35,"i","have","a","lot",0.0565428109854604
"if you are a",35,"if","you","are","a",0.0892857142857143
"on the side of",35,"on","the","side","of",0.546875
"other side of the",35,"other","side","of","the",0.729166666666667
"rest of the day",35,"rest","of","the","day",0.11400651465798
"some of the most",35,"some","of","the","most",0.0634057971014493
"thanks for stopping by",35,"thanks","for","stopping","by",0.795454545454545
"the first day of",35,"the","first","day","of",0.660377358490566
"the new york times",35,"the","new","york","times",0.460526315789474
"the way to the",35,"the","way","to","the",0.233333333333333
"this is what i",35,"this","is","what","i",0.2734375
"to check out the",35,"to","check","out","the",0.294117647058824
"to the fact that",35,"to","the","fact","that",0.875
"turned out to be",35,"turned","out","to","be",0.945945945945946
"what to do with",35,"what","to","do","with",0.220125786163522
"you can do it",35,"you","can","do","it",0.284552845528455
"a big fan of",34,"a","big","fan","of",0.755555555555556
"and the rest of",34,"and","the","rest","of",0.708333333333333
"fell in love with",34,"fell","in","love","with",0.693877551020408
"for some reason i",34,"for","some","reason","i",0.295652173913043
"go back to the",34,"go","back","to","the",0.21656050955414
"i can't wait for",34,"i","can't","wait","for",0.138775510204082
"i don't even know",34,"i","don't","even","know",0.34
"i really need to",34,"i","really","need","to",0.53968253968254
"i thought it would",34,"i","thought","it","would",0.24113475177305
"is one of those",34,"is","one","of","those",0.0931506849315069
"it is going to",34,"it","is","going","to",0.918918918918919
"thanks for following me",34,"thanks","for","following","me",0.169154228855721
"thanks for the love",34,"thanks","for","the","love",0.024113475177305
"the last day of",34,"the","last","day","of",0.586206896551724
"there is a lot",34,"there","is","a","lot",0.0734341252699784
"to all of you",34,"to","all","of","you",0.276422764227642
"you dont have to",34,"you","dont","have","to",0.566666666666667
"you please follow me",34,"you","please","follow","me",0.894736842105263
"you want me to",34,"you","want","me","to",0.85
"a couple of days",33,"a","couple","of","days",0.0665322580645161
"from time to time",33,"from","time","to","time",0.970588235294118
"how much i love",33,"how","much","i","love",0.305555555555556
"i cant wait to",33,"i","cant","wait","to",0.507692307692308
"i didn't want to",33,"i","didn't","want","to",0.611111111111111
"i need to be",33,"i","need","to","be",0.0634615384615385
"i the only one",33,"i","the","only","one",0.673469387755102
"if you are interested",33,"if","you","are","interested",0.0841836734693878
"in a couple of",33,"in","a","couple","of",0.589285714285714
"it would have been",33,"it","would","have","been",0.568965517241379
"of the united states",33,"of","the","united","states",0.804878048780488
"once in a while",33,"once","in","a","while",0.717391304347826
"so i had to",33,"so","i","had","to",0.767441860465116
"take the time to",33,"take","the","time","to",0.891891891891892
"thanks for following us",33,"thanks","for","following","us",0.164179104477612
"the end of this",33,"the","end","of","this",0.0550918196994992
"to come up with",33,"to","come","up","with",0.846153846153846
"when i was in",33,"when","i","was","in",0.101226993865031
"and i will be",32,"and","i","will","be",0.206451612903226
"as long as i",32,"as","long","as","i",0.141592920353982
"i think it is",32,"i","think","it","is",0.19047619047619
"i think it was",32,"i","think","it","was",0.19047619047619
"in addition to the",32,"in","addition","to","the",0.326530612244898
"in one of the",32,"in","one","of","the",0.385542168674699
"in the back of",32,"in","the","back","of",0.421052631578947
"in the case of",32,"in","the","case","of",0.727272727272727
"it was time to",32,"it","was","time","to",0.627450980392157
"one of the many",32,"one","of","the","many",0.0246343341031563
"thank you thank you",32,"thank","you","thank","you",1
"that it would be",32,"that","it","would","be",0.551724137931034
"the front of the",32,"the","front","of","the",0.64
"this is a great",32,"this","is","a","great",0.0739030023094688
"to see you there",32,"to","see","you","there",0.082687338501292
"to share with you",32,"to","share","with","you",0.571428571428571
"you have to be",32,"you","have","to","be",0.0831168831168831
"a chance to win",31,"a","chance","to","win",0.174157303370787
"a couple of years",31,"a","couple","of","years",0.0625
"a great deal of",31,"a","great","deal","of",0.508196721311475
"a lot of things",31,"a","lot","of","things",0.0276785714285714
"all of a sudden",31,"all","of","a","sudden",0.939393939393939
"and a lot of",31,"and","a","lot","of",0.775
"and one of the",31,"and","one","of","the",0.563636363636364
"and thank you for",31,"and","thank","you","for",0.418918918918919
"as far as i",31,"as","far","as","i",0.26271186440678
"awkward moment when you",31,"awkward","moment","when","you",0.340659340659341
"back in the day",31,"back","in","the","day",0.186746987951807
"cant wait to see",31,"cant","wait","to","see",0.442857142857143
"had a chance to",31,"had","a","chance","to",0.815789473684211
"he was going to",31,"he","was","going","to",0.885714285714286
"i hope you have",31,"i","hope","you","have",0.124
"i love it when",31,"i","love","it","when",0.158163265306122
"i love you too",31,"i","love","you","too",0.0545774647887324
"in new york city",31,"in","new","york","city",0.227941176470588
"is a good thing",31,"is","a","good","thing",0.186746987951807
"is a lot of",31,"is","a","lot","of",0.492063492063492
"it has been a",31,"it","has","been","a",0.206666666666667
"it was great to",31,"it","was","great","to",0.382716049382716
"not be able to",31,"not","be","able","to",1
"one of the few",31,"one","of","the","few",0.0238645111624326
"please let me know",31,"please","let","me","know",0.861111111111111
"should be able to",31,"should","be","able","to",1
"this is not a",31,"this","is","not","a",0.208053691275168
"to all of our",31,"to","all","of","our",0.252032520325203
"to make sure that",31,"to","make","sure","that",0.209459459459459
"we had a great",31,"we","had","a","great",0.174157303370787
"what is your favorite",31,"what","is","your","favorite",0.36046511627907
"would be a good",31,"would","be","a","good",0.169398907103825
"you had a great",31,"you","had","a","great",0.292452830188679
"you want to do",31,"you","want","to","do",0.0665236051502146
"a few of the",30,"a","few","of","the",0.340909090909091
"a huge fan of",30,"a","huge","fan","of",0.625
"at the university of",30,"at","the","university","of",0.882352941176471
"be part of the",30,"be","part","of","the",0.46875
"come up with a",30,"come","up","with","a",0.232558139534884
"happy mothers day to",30,"happy","mothers","day","to",0.333333333333333
"here are a few",30,"here","are","a","few",0.681818181818182
"i am so excited",30,"i","am","so","excited",0.136363636363636
"i hate when people",30,"i","hate","when","people",0.344827586206897
"in front of a",30,"in","front","of","a",0.0983606557377049
"looking forward to a",30,"looking","forward","to","a",0.045662100456621
"not going to be",30,"not","going","to","be",0.138888888888889
"on a regular basis",30,"on","a","regular","basis",0.909090909090909
"so that i can",30,"so","that","i","can",0.483870967741935
"there is so much",30,"there","is","so","much",0.857142857142857
"to be the best",30,"to","be","the","best",0.0993377483443709
"to figure out how",30,"to","figure","out","how",0.212765957446809
"to keep up with",30,"to","keep","up","with",0.612244897959184
"with the rest of",30,"with","the","rest","of",0.909090909090909
"you have to do",30,"you","have","to","do",0.0779220779220779
"you want to see",30,"you","want","to","see",0.0643776824034335
"don't want to be",29,"don't","want","to","be",0.131221719457014
"every now and then",29,"every","now","and","then",0.763157894736842
"for a chance to",29,"for","a","chance","to",0.878787878787879
"for all of us",29,"for","all","of","us",0.256637168141593
"great to meet you",29,"great","to","meet","you",0.783783783783784
"have a great week",29,"have","a","great","week",0.0785907859078591
"have no idea how",29,"have","no","idea","how",0.221374045801527
"i am trying to",29,"i","am","trying","to",0.805555555555556
"i have a feeling",29,"i","have","a","feeling",0.0468497576736672
"i just had to",29,"i","just","had","to",0.426470588235294
"if you would like",29,"if","you","would","like",0.630434782608696
"in love with the",29,"in","love","with","the",0.146464646464646
"in the near future",29,"in","the","near","future",0.90625
"it is important to",29,"it","is","important","to",0.58
"just got back from",29,"just","got","back","from",0.828571428571429
"me i love you",29,"me","i","love","you",0.617021276595745
"me know what you",29,"me","know","what","you",0.674418604651163
"out of the house",29,"out","of","the","house",0.0500863557858377
"that it was a",29,"that","it","was","a",0.167630057803468
"the only thing i",29,"the","only","thing","i",0.232
"to check it out",29,"to","check","it","out",0.90625
"to hear from you",29,"to","hear","from","you",0.58
"to one of the",29,"to","one","of","the",0.311827956989247
"wait to see the",29,"wait","to","see","the",0.120331950207469
"was the first time",29,"was","the","first","time",0.308510638297872
"a good way to",28,"a","good","way","to",0.528301886792453
"a long time ago",28,"a","long","time","ago",0.133333333333333
"and i have been",28,"and","i","have","been",0.120689655172414
"and the fact that",28,"and","the","fact","that",0.903225806451613
"be the first to",28,"be","the","first","to",0.509090909090909
"don't know what to",28,"don't","know","what","to",0.235294117647059
"for the heads up",28,"for","the","heads","up",1
"going to have a",28,"going","to","have","a",0.207407407407407
"i dont know what",28,"i","dont","know","what",0.144329896907216
"i think i have",28,"i","think","i","have",0.0754716981132075
"i thought i would",28,"i","thought","i","would",0.185430463576159
"in my life i",28,"in","my","life","i",0.12280701754386
"in the process of",28,"in","the","process","of",0.35
"in the same way",28,"in","the","same","way",0.166666666666667
"its going to be",28,"its","going","to","be",0.651162790697674
"not the only one",28,"not","the","only","one",0.56
"thanks for the tweet",28,"thanks","for","the","tweet",0.0198581560283688
"thanks to all who",28,"thanks","to","all","who",0.318181818181818
"the center of the",28,"the","center","of","the",0.538461538461538
"the heart of the",28,"the","heart","of","the",0.341463414634146
"the last couple of",28,"the","last","couple","of",0.777777777777778
"the side of the",28,"the","side","of","the",0.388888888888889
"to do the same",28,"to","do","the","same",0.213740458015267
"to go to a",28,"to","go","to","a",0.0652680652680653
"to the point where",28,"to","the","point","where",0.311111111111111
"what do you do",28,"what","do","you","do",0.089171974522293
"why is it that",28,"why","is","it","that",0.424242424242424
"would be able to",28,"would","be","able","to",1
"would love to have",28,"would","love","to","have",0.0958904109589041
"as a matter of",27,"as","a","matter","of",1
"at the age of",27,"at","the","age","of",1
"but i have a",27,"but","i","have","a",0.174193548387097
"day to all the",27,"day","to","all","the",0.509433962264151
"i can't help but",27,"i","can't","help","but",0.642857142857143
"i decided to make",27,"i","decided","to","make",0.119469026548673
"i had a dream",27,"i","had","a","dream",0.0733695652173913
"i have to admit",27,"i","have","to","admit",0.0481283422459893
"i love you and",27,"i","love","you","and",0.0475352112676056
"in order to get",27,"in","order","to","get",0.0903010033444816
"in the last few",27,"in","the","last","few",0.167701863354037
"is it just me",27,"is","it","just","me",0.692307692307692
"it was one of",27,"it","was","one","of",0.794117647058823
"let me know when",27,"let","me","know","when",0.0810810810810811
"let me tell you",27,"let","me","tell","you",0.870967741935484
"love to see you",27,"love","to","see","you",0.290322580645161
"not a fan of",27,"not","a","fan","of",0.692307692307692
"not being able to",27,"not","being","able","to",1
"of one of the",27,"of","one","of","the",0.397058823529412
"of some of the",27,"of","some","of","the",0.675
"out to be a",27,"out","to","be","a",0.262135922330097
"please follow me i",27,"please","follow","me","i",0.186206896551724
"the last time i",27,"the","last","time","i",0.28125
"the middle of a",27,"the","middle","of","a",0.127962085308057
"the same time i",27,"the","same","time","i",0.138461538461538
"the top of my",27,"the","top","of","my",0.144385026737968
"there are a few",27,"there","are","a","few",0.221311475409836
"to see you again",27,"to","see","you","again",0.0697674418604651
"to see you in",27,"to","see","you","in",0.0697674418604651
"to the end of",27,"to","the","end","of",0.519230769230769
"wait to see what",27,"wait","to","see","what",0.112033195020747
"what do you want",27,"what","do","you","want",0.0859872611464968
"with the help of",27,"with","the","help","of",1
"would love to hear",27,"would","love","to","hear",0.0924657534246575
"you can see the",27,"you","can","see","the",0.166666666666667
"you have any questions",27,"you","have","any","questions",0.287234042553192
"all over the place",26,"all","over","the","place",0.206349206349206
"do you know what",26,"do","you","know","what",0.152046783625731
"fun fun fun fun",26,"fun","fun","fun","fun",0.787878787878788
"get a chance to",26,"get","a","chance","to",0.702702702702703
"have been able to",26,"have","been","able","to",0.962962962962963
"i am not sure",26,"i","am","not","sure",0.0909090909090909
"i feel like a",26,"i","feel","like","a",0.0714285714285714
"i miss you too",26,"i","miss","you","too",0.158536585365854
"i think i can",26,"i","think","i","can",0.0700808625336927
"i wanted to do",26,"i","wanted","to","do",0.0802469135802469
"i was a kid",26,"i","was","a","kid",0.122641509433962
"i was at the",26,"i","was","at","the",0.376811594202899
"in the face of",26,"in","the","face","of",0.325
"is part of the",26,"is","part","of","the",0.426229508196721
"it is not a",26,"it","is","not","a",0.124401913875598
"it seems to me",26,"it","seems","to","me",0.419354838709677
"keep up the good",26,"keep","up","the","good",0.40625
"on a daily basis",26,"on","a","daily","basis",0.928571428571429
"once upon a time",26,"once","upon","a","time",0.896551724137931
"one of the greatest",26,"one","of","the","greatest",0.0200153964588145
"over the past few",26,"over","the","past","few",0.282608695652174
"please feel free to",26,"please","feel","free","to",1
"thanks for the rts",26,"thanks","for","the","rts",0.0184397163120567
"that i need to",26,"that","i","need","to",0.590909090909091
"the face of the",26,"the","face","of","the",0.412698412698413
"the fact that he",26,"the","fact","that","he",0.0580357142857143
"the fact that we",26,"the","fact","that","we",0.0580357142857143
"the shit out of",26,"the","shit","out","of",0.962962962962963
"this is a good",26,"this","is","a","good",0.0600461893764434
"this time of year",26,"this","time","of","year",0.684210526315789
"to say the least",26,"to","say","the","least",0.456140350877193
"towards the end of",26,"towards","the","end","of",0.787878787878788
"up the good work",26,"up","the","good","work",0.866666666666667
"we would love to",26,"we","would","love","to",0.8125
"what can i say",26,"what","can","i","say",0.722222222222222
"when you have a",26,"when","you","have","a",0.273684210526316
"with a lot of",26,"with","a","lot","of",0.787878787878788
"won't be able to",26,"won't","be","able","to",0.962962962962963
"you want to know",26,"you","want","to","know",0.055793991416309
"a copy of the",25,"a","copy","of","the",0.352112676056338
"and it was a",25,"and","it","was","a",0.102040816326531
"and thanks for the",25,"and","thanks","for","the",0.416666666666667
"at a time when",25,"at","a","time","when",0.182481751824818
"be a good day",25,"be","a","good","day",0.149700598802395
"but i have to",25,"but","i","have","to",0.161290322580645
"do i have to",25,"do","i","have","to",0.5
"end of the year",25,"end","of","the","year",0.0683060109289618
"for the kind words",25,"for","the","kind","words",0.78125
"i'll let you know",25,"i'll","let","you","know",0.735294117647059
"i can think of",25,"i","can","think","of",0.694444444444444
"i hate it when",25,"i","hate","it","when",0.641025641025641
"i have to get",25,"i","have","to","get",0.0445632798573975
"i wanted to be",25,"i","wanted","to","be",0.0771604938271605
"it has to be",25,"it","has","to","be",0.555555555555556
